id,review_text,label,cleanlab_suggested_label,cleanlab_corrected_label,cleanlab_label_quality,cleanlab_action
505,I just love this magazine! Ive gotten it for a few years. I try to never let my subscription lapse. Great price on amazon too!!,5.0,,,0.9978896,
511,"Order this and a subscription to Computer Shopper on Dec 28 2001, got my Computer Shopper in Jan 2002, still have not seen a issue of Maximum PC as of end of Arril.",1.0,,,0.9976276,
514,This is a magazine made of clowns! Bozo rules! I friendly advice to people is to get almost any other magazine. This one is completely lost.,1.0,,,0.9958225,
517,"I used to love ALLURE, but outgrew it. I decided I am never going to LOOK like anyone in the magazine, nor can I afford the clothes, accessories or makeup in there.",1.0,,,0.45166138,resolved
530,"Do not buy. You get a 4 or 5 issues, then they stop. Contacted Amazon, got 1 more issue then they stopped again. A rip off. We need a NO star option.",1.0,,,0.9932579,
543,Love the magazine. It has great ideas and tips. It is very helpful and knowledgeable on so many different projects. Thank you Handyman.,5.0,,,0.9982897,
544,Best mag out there,5.0,,,0.99867964,
550,I love Allure,5.0,,,0.99768335,
553,magazines may have gone digital but that makes their ads even more annoying--it takes way too long to get to the stories and by then I don't want to read it.,1.0,,,0.92410946,
575,Love the mag but it doesn't work on my Kindle due to there update and they haven't fixed the problem !!!! They just give you the run around!!,1.0,,,0.41564053,
582,Nice Ideas for a handy person.,4.0,,,0.9886745,resolved
583,I like it and extended my subscription,4.0,,,0.9920408,
585,"Like content , but way to much advertisements.",3.0,,,0.6692369,
587,Love this magazine!!! It has the best beauty tips and I love the articles too :) Also love that I can read it on my Kindle Fire HD. Two thumbs up!,5.0,,,0.99971944,
588,"This is the only magazine I subscribe to. Great articles, great fashion and make up tips. It's fantastic tat I can view it on my kindle.",5.0,,,0.98384607,
598,far too many adds  not enought info,2.0,,,0.9619825,resolved
600,"Order it in March and only receive 2 copy so far, will never order any magazine every again.",1.0,,,0.8881233,
602,Always alot of practical articles for around the house. Sometimes has to many ads but overall pretty good articles,4.0,,,0.9630259,
612,"I love this magazine! I subscribe to approx 10 to 15 magazines and I look forward to this one most! Great tips, money savers, and fashion insight in general!",5.0,,,0.999843,
617,My only complaint is constantly getting renewal messages in the mail. I received one even before getting the first issue.,1.0,,,0.9893645,resolved
618,It has only a few good articles (2 or 3) and the rest are just ads.  Simply put too many ads.,3.0,,,0.95831203,
632,I love this magazine...,5.0,,,0.99986076,
648,"As such, I am unable to review it.

However, I can review the ship time and I am not pleased with it at all.",1.0,,,0.903445,
653,I think I'll like it. Will wait for future issues.,4.0,,,0.87573624,
658,One of the most beneficial magazines I have seen.  Every issue has plenty of helpful tips and hints and the projects are within the abilities of the average person.,5.0,,,0.93014586,
663,Faulty DRM would not allow me to view the magazine on my Fire HD. Was forced by the app to remove the magazine.  Seriously annoyed.,1.0,,,0.9836521,
665,Decent articles but the adds have gotten out of hand.,3.0,,,0.87935174,
666,Lots of good tips and easy projects for beginning diy-ers.,4.0,,,0.9990267,
673,It took two months to receive the first magazine and didn't receive any more after that.  Defenitely the last magazine subscription I order from Amazon.,1.0,,,0.99940467,
690,Worth the 99 cents per issue I paid for it.,1.0,,,0.96793234,resolved
693,This is a great magazine if I was younger in age!,5.0,,,0.9963612,resolved
694,"I used to love this magazine because it was fun and fashion. Now, it's gotten all political and ""edgy."" Blah.",1.0,,,0.09826404,
695,Great content! Happy reading with this magazine! Also a good tool for learning English. Love it!,5.0,,,0.98475283,
702,"This is a great magazine. I have subscribed to it for as long as I can remember. It is full of great advice, new product information, etc. I love it and HIGHLY recommend it!!",5.0,,,0.99984133,
708,"The magazine is good, but I didn't order a subscription.",3.0,4.0,,0.29131603,resolved
714,"When the renewal starts since I purchase it.
The letter came yesterday to renewal it so now do it.",1.0,,,0.8538824,resolved
727,"Time to leave this one behind, I'm afraid...",1.0,,,0.9689752,resolved
729,This magazine is a waste of money and bores me.  Nothing here to see but ads.,1.0,,,0.9998101,
761,"Meh, I'll just pick it up at the store.",1.0,,,0.93308616,resolved
762,This goes well with my print subscription.,4.0,,,0.42042285,
773,"Some content was really good, but the adds to content balance just didn't work for me.  Pretty sure it was at least 60/40 ads to content.",2.0,3.0,,0.18701619,resolved
780,"I love the magazine, but the sale adds are starting to take up half the magazine.",3.0,,,0.51284325,resolved
784,"Truly enjoyed this issue and the enclosed projects. The information was current and the patterns very well written. Packed full of ideas, concepts and educational articles.",4.0,,,0.99974024,resolved
788,Way to many ads but cool project in each magezine,3.0,,,0.9120748,
794,"I ended up cancelling, because it became too political. I wanted more fashion!",1.0,,,0.83753693,resolved
800,"sucks
you may or may not receive you order",1.0,,,0.9943447,
811,gift for son and he loves it!,5.0,,,0.9979191,
818,Waste of money never down loaded on my fire,1.0,,,0.9998907,
819,I love this!,5.0,,,0.9996414,
820,"Tooooooo many ads, first 45 pages all ads then table of contents then more ads",2.0,,,0.6361712,resolved
822,It was a great issue but could be more effective if articles were less lenghty,4.0,3.0,,0.06475544,resolved
832,"Have to say very disappointed, poor articles and a lot of unrealistic ideas.",2.0,,,0.9089998,
834,"If you love to tinker, build and repair you'll love Handyman.",5.0,,,0.99800694,
838,"Good info, just not very easy projects..",4.0,,,0.81882054,
840,pretty good magazine except not a lot of articles,3.0,,,0.9543158,resolved
846,"Did not order this, I hate magazines.",1.0,,,0.9996763,
850,Like most mags today too many adds,3.0,,,0.53699374,
864,too many add.s,3.0,,,0.77655363,
869,This is a great magazine for fun reading.,5.0,,,0.928908,
870,"Not interested, too many adds.",2.0,,,0.8311488,resolved
872,"Great, Awesome, Amazing!!!",5.0,,,0.9997034,
878,Access to my  favorite magazine has never been this easy.  Love the interactive pages and the bookmark feature.,5.0,,,0.9998667,
892,"Good solid magmazine.  AS usual, I wish there were less ads",4.0,,,0.95498145,
898,This magazine is about 70% advertisements.  It's a shame.  I canceled my subscription.,1.0,,,0.7892561,
903,I just re-ordered this magazine. It can be repetitive like any fitness mag but it keeps me motivated to hit the gym and that's all I care about.,4.0,,,0.42405558,resolved
904,It covers many areas and has an updated wealth of information.,4.0,,,0.52237177,
906,Good stuff on fitness and eating healthy. Too much crap about sex and how to either do it better or get more of it. Should just stick to fitness/well-being.,3.0,,,0.54311675,
916,Once upon a time this was a great magazine. That was years ago. Now it is full of ads and recycled articles. They haven't had anything new or worth reading in a long time.,4.0,,,0.42647463,resolved
922,I got carpel tunnel syndrome just trting to get through the ads. Not happy.,1.0,,,0.8235077,
930,"This app needs work as it will only download the first few pages then ""gets stuck"".  Glad I only bought one issue and I will delete that.",1.0,,,0.9919925,
935,"Do not download, Did not download all the way for me and still was charged very disappointed will not download again",1.0,,,0.98846817,
940,"Rubbish
Full of ads",1.0,,,0.9185053,
945,Too many adds!,2.0,,,0.93564695,resolved
946,"A great mix of general nutrition , lifestyle , and exercise articles .",4.0,,,0.89399195,
950,i don't like that its a running subscribtion,1.0,,,0.9595696,resolved
951,Won't buy again. Too many advertisements.,1.0,,,0.84550476,
952,I get this magazine and comments are Right..Nothing but ads! If I wanted to see ads I would just watch TV!,1.0,,,0.9301409,
955,"I love this magazine, a little of everything; decorating, recipes, and lots of outdoor garden ideas.
It's an incredible value!",5.0,,,0.9972012,
956,"not like use to.  Too much ads, (every page?)  no thanks",1.0,,,0.65888166,
961,Thought this was a monthly magazine. Buyer receivies one mag every 3 months. Every three months one can almost forget they ordered the magazine.,1.0,,,0.3020874,
979,Never could get subscription information corrected.,1.0,,,0.9984959,resolved
980,"Many new ideas, informative....",4.0,,,0.9971208,
991,Did not find it worthwhile,1.0,,,0.8632648,
998,"a great magazine even for an ""old timer""",5.0,,,0.9459804,
1000,So sad that a historical magazine has declined,1.0,,,0.86639035,
1009,Lots of adds.  Light on content.,3.0,,,0.9080149,
1010,The ratio of advertisement to content was unappealing.,2.0,,,0.77248704,
1011,Very thin and the photos aren't great.,5.0,,,0.2774106,resolved
1019,i cant access my subscription and the links don't work. i uninstalled the app and installed it again with no luck.,1.0,,,0.9994832,resolved
1021,Always loved this magazine.  The articles are great and the clothes are so beautiful! Thank you for reminding me I'm a woman!,5.0,,,0.99980617,
1027,I am very displeased with this.  I tried to cancel my subscription but they would not do so.  I do not want this magazine.,1.0,,,0.98734736,
1028,I have not received the magazine yet!! It was paid on September. 14th!!! Not happy!! It is now October 18th!!!!,1.0,,,0.99868476,
1030,Paid for a year and only received 2 magazines in 6 months!,1.0,,,0.9958717,
1037,This only came for two months and then just stopped... not a very good mag anyway,1.0,,,0.76233095,
1042,Not available  for purchase? Why list it under Kindle Unlimited  then?,1.0,,,0.9863019,
1043,"Good articles on health, fitness, and men.",4.0,,,0.9911896,resolved
1044,"I'm sure it's a pretty good mag, but I'll never know, because it will not download to either my Kindle or my PC.",3.0,,,0.19947171,
1045,Good luck reading this on a smart phone or kindle. The text is so small you'll spend half your rine pinching the screen and the other half cursing.,4.0,,,0.9470478,resolved
1046,Not compatible on Android tablets via Kindle app.  Beware...,1.0,,,0.98337317,
1049,Received an issue around thanksgiving and then nothing.,1.0,,,0.9989008,
1051,"I take offense to the description ""guide for the woman"" Men read your magazine too!",2.0,,,0.6804905,resolved
1057,Too many ads,3.0,,,0.5488326,resolved
1058,Haven't Bought Magazines In A Long Time. Decided to try. Most Of The Magazine Are Adds.,3.0,,,0.36927056,
1060,Almost half the magazine is alcohol and cigarette ads.  Could not use them to reading time in my classroom.,1.0,,,0.7908435,resolved
1068,Hubby likes it,4.0,,,0.8193933,resolved
1072,"Garbage for gullible people.  Self esteem will result from positive relationships and service to others, not physique.  This drivel will only damage your health, not improve it.",1.0,,,0.9273112,
1077,Articles are no longer very interesting.  Basically you can get all the highlights of the articles online for free.,1.0,,,0.80309653,
1078,"The magazine is ok ,but what I want to know is if I can get the kindle version only without the printed magazine?
Thank you!",1.0,3.0,,0.086651325,resolved
1091,Thought this magazine would be similar to Cosmo but unfortunately I was wrong. It seems kind of boring to me.,3.0,,,0.9276973,
1101,Very disappointing as every turn of the page there is full page advertisements. Hardly any articles and not impressed with them.,1.0,,,0.9310079,
1102,Just received my January issue and it seems to have a lot less pages than it did before.  It was only $5 for the year but won't be renewing it when the year is up.,1.0,2.0,,0.45092878,resolved
1106,"my mother kept every Christmas issue for years
I love looking at them . . classic",5.0,,,0.9996195,
1115,"Excellent magazine, wonderful and informative.",5.0,,,0.99245995,
1116,I bought this for my kids but quickly cancelled after seeing all the tobacco ads.,1.0,,,0.96922135,
1117,Its okay.  I am used to the older style of Popular Science magazines.  Just something missing.,3.0,,,0.99660283,
1121,Got 1 or 2 issues! Waste of money,1.0,,,0.9998677,
1127,Great magazine and love Jimmy the Bartender...,5.0,,,0.99947023,
1129,This subscription seems to come intermittently. The magazine is mostly advertisements. We won't renew.,2.0,,,0.25000992,
1143,A little too homey for me. I only cook for one and this is more for a family person.,3.0,,,0.88752896,
1144,"I like most of the decorating articles, real people doing real things to their homes.  The rest of the magazine is okay.",3.0,,,0.66704375,
1154,"Good magazine, plenty of interesting stuff, up to date info, fashions, fashion tips, health and beauty.
Would recommend.",4.0,,,0.9969278,
1159,would buy again,1.0,,,0.9916218,resolved
1162,It is a great magazine for men.,5.0,,,0.9228579,
1170,"Lots of ideas, decorating, recipes",4.0,,,0.8884511,resolved
1171,Ratio of advertising to articles and ideas is 15-1.  So sad.,4.0,,,0.58321756,resolved
1176,Love this magazine! Lots of great ideas and tips. Also really enjoy the recipes,5.0,,,0.99909186,
1190,One of the best magazine out there,5.0,,,0.9977962,
1193,great magazine!  Came very quickly.,5.0,,,0.8356408,
1194,My dad loves this magazine!!,5.0,,,0.99964666,
1201,to me Glamour is more of a young crowd targeted magazine. Liked its relationship columns or whatever you call it.,4.0,,,0.81085134,
1205,there's too many ads and not enough articles.  Self magazine and marie claire are better for this reason.,2.0,,,0.75584424,
1213,magazine has too many adds not enough mens health,1.0,,,0.40263605,
1215,Outstanding magazine.,1.0,,,0.89904964,resolved
1218,"The monthly magazine as well as the emails I get every day have greatly helped my workout routine, my diet, and my wardrobe! It's really cheap too! I highly recommend!",5.0,,,0.9800968,
1220,"A short magazine with overly simply articles. Number of ads seems more than normal.
Love the web site and very disappointed in this magazine.",5.0,,,0.96876156,resolved
1229,Magazine is nothing but advertisements,1.0,,,0.96646184,
1235,Have always lived Better Homes. Always good recipes and decorating ideas. Love it through the holidays,5.0,,,0.9777656,
1238,to many ads,3.0,,,0.5038413,
1249,good read,4.0,,,0.99942243,resolved
1253,This is definitely a magazine worth buying! So much helpful information!!,1.0,,,0.43059087,resolved
1262,Still am waiting on the magazine when I got an email a month ago saying it was being processed and I should get it shortly,1.0,,,0.988119,
1267,"Keeps me interested... But the fashion is all incredibly high priced, not something you can ever afford, which sucks.",1.0,,,0.5730523,resolved
1268,"In a world full of teen magazines, I am thankful to have a grown-up outlet for pleasurable reading.",4.0,,,0.8986943,
1271,Inteeesting.,1.0,,,0.93800986,resolved
1273,"Aah, I like science but. Magazines are mostly advertisement. NOT ENOUGH SCIENCE.",3.0,,,0.80105895,
1276,"I decided to test out the magazine with 4 issues for .99, then get charged. I only got 2 and it tried to charge me. No way.",1.0,,,0.9983632,
1280,Love it! The price was excellent.,5.0,,,0.9994092,
1284,Good read !,4.0,,,0.99966455,
1285,Expect 95% ads 5% actual content.,1.0,,,0.92484534,
1286,Love the magazine.  Love the price!!!,5.0,,,0.99830616,
1296,It has a lot of adds,3.0,,,0.6467993,
1304,SO many ads now... I'm glad I didn't pay full price. Im 28 and viagra ads every other page aren' necessary.,1.0,2.0,,0.43491697,resolved
1305,"Of all the magazines I get, this is by far my favorite.",5.0,,,0.9964336,
1307,I subscribed to a magazine that is mostly advertisements.  Little information compared to ads for other products.,1.0,,,0.57802045,
1308,The little bit of content in the magazine is great. There are way too many ads in it now. I have a few years worth of old issues and they were great. Now not so much.,2.0,,,0.6932482,
1314,"It's a good magazine, but nothing spectacular about it. But then I just read a single issue of the magazine from my subscription.",3.0,,,0.9963404,
1319,"Magazine is primarily advertisements  Very, very little content regarding gardening and home",2.0,,,0.63286424,
1322,The Best!,5.0,,,0.99920434,
1326,Magazine is ok.  Seems like the ads are more numerous than the articles.,3.0,,,0.9956596,resolved
1328,"Only have received one magazine, not impressed with this one",1.0,,,0.9987235,resolved
1334,Most of what I seen was lots of advertising...rather have the real magazine..,2.0,,,0.47385037,resolved
1336,Alway liked Mens Health. Great to get a digital copy,4.0,,,0.7041122,
1339,Not very interesting.,2.0,,,0.86249435,resolved
1343,"Got the first issue and then cancelled.  Lots of health info followed by a FULL PAGE AD FOR CIGARETTES.
Can you say hypocritical !!!!",2.0,1.0,,0.14134675,resolved
1345,I've always loved this magazine ever since I read my Dad's copies.,5.0,,,0.9997365,
1349,"Seems like a very informative magazine, however we are not able to view a readable size from our Amazon fire.  Probably works well on other devices.",3.0,1.0,,0.20272025,resolved
1355,"Good magazine, with some okay articles, sadly its almost 50% ads and everything in there can be found for free online.",3.0,,,0.79453087,
1369,I love this magazine for decor and cooking ideas.,5.0,,,0.9988409,
1375,I didn't order this,1.0,,,0.9873748,
1382,Not satisfied!!!! Didn't recieve s***. I got scammed. Smfh,1.0,,,0.8818431,
1385,"Quality of this publication has gone down over the past years. Pretty dissapointed in the content, will not renew my subscription",1.0,,,0.6812322,resolved
1396,I don't like this one so cancelled my subscription.,1.0,,,0.9997114,
1398,I bought this for my husband and paid $15 for two years. We have gotten 1 issue in 3 months and 5 bills saying we owe $10. This is an awful deal.,1.0,,,0.89837253,
1402,Love my magazine every month,5.0,,,0.99945104,
1411,Charged twice so cancelled. Refunded only the one charge. Lesson Learned.,1.0,,,0.9987743,
1413,Good magazine but some better diet plans or meal planning with more recipes would make it a great monthly read,4.0,,,0.71012783,
1414,"Same as I remember. Great for younger guys, but as you get older, it just seems more and more useless.",3.0,,,0.93604696,
1417,The magazine has seemed to take a slightly homosexual slant. I will not purchase it again because i don't think it represents who i am as a man anymore.,1.0,,,0.96313924,
1419,It is a okay just wished it had more interesting content.,3.0,,,0.9648156,
1424,"Only received one issue.  Great magazine, bad deal.",1.0,,,0.09718335,
1440,"light reading, not terribly informative or technical",2.0,3.0,,0.099606514,resolved
1452,Tried to cancel the auto subscription but was unable too!!!!! Suggest buying from another source.,1.0,,,0.999338,
1454,I purchased a digital and print subscription and my kindle had only received one copy of men's health.,1.0,,,0.995823,
1455,Just don't like the format on my tablet,1.0,,,0.9679487,
1456,I ordered this magazine and did not receive one single issue.,1.0,,,0.9998263,resolved
1470,very satisfied.,4.0,,,0.41732034,
1491,I am a senior lady serial home remodeler and try to be as hands on as my tired arthritic old body allows. This has long been one of my favorite magazines. Love it,5.0,,,0.9993936,
1498,Wonderful & fun to read.,5.0,,,0.99440014,
1514,Nothing but ads,1.0,,,0.9836805,
1519,Never ordered this mag???,1.0,,,0.97733426,
1527,I think there are a lot of useless articles.  The cabbage recipes were unappetizing.  I was glad I didn't buy it.,2.0,,,0.4095712,resolved
1533,My favorite at a great price. Been getting for years.,5.0,,,0.9999838,
1537,More adds than articles.  Handyman or expert? Most projects are far beyond most homeowners capabilities and tools at the house,2.0,,,0.7556791,
1547,Boring. Mostly goofy ads,1.0,,,0.6117587,
1555,Last issue warning after six months. Not renewing.,1.0,,,0.82526094,
1560,I ordered this for my son but he has yet to receive it!,1.0,,,0.99244285,
1566,Disappointed,2.0,,,0.6875862,
1567,Constantly has to re download. Basically unreadable.,1.0,,,0.9956668,
1576,"more designed for purchased things, not created things.",3.0,,,0.5524532,resolved
1589,A waste of time and trees.  All about pushing ads and products. Few really useful articles. Won't renew.,1.0,,,0.98223364,
1595,can't seam to inlarge type.,1.0,,,0.9157058,
1598,Disappointed with issue,2.0,,,0.3499782,
1619,Ordered Magazine in March 2016 and finally got my 2nd copy today dated September 2016.  The first copy was around May 2016.,1.0,,,0.9569125,
1621,Good value,4.0,,,0.99870914,
1631,Excellent!!!,5.0,,,0.9747625,
1647,"Helpful advise, and great articles.",4.0,,,0.9833944,resolved
1650,"Great magazine, all sorts of tips for guys to get and stay in shape.",4.0,,,0.43370914,
1659,"Very good magazine!! Has a lot of information about new products, a very interesting proyects...",4.0,,,0.9964938,
1661,too many ads.,3.0,,,0.6551195,
1664,Looking forward the to the following issues.,4.0,,,0.9182874,
1674,"Lots of good ideas.  And lots of advertising .

..",4.0,,,0.96166325,
1677,Long time fan of this magazine,1.0,,,0.63864154,resolved
1680,I can learn how to eat healthy and do exercise at the gym on my own thank you very much.  I cancelled my subscription.,1.0,,,0.98679346,resolved
1684,"Ordered for a friend,guess he liked it okay.",3.0,,,0.954102,
1686,My Son loves this magazine and appreciated me buying it for him,5.0,,,0.9990032,
1693,Always a reliable source for up to date holiday decorating and gardening ideas. I have depended on these good ideas for more than 20 years!,4.0,,,0.99517155,
1695,Just love this magazine.,5.0,,,0.99988866,
1709,I wasn't able to read it on my desktop. :(,2.0,,,0.4581861,
1713,Just not as good since they switched to single-themed issues. Liked it much better before,3.0,,,0.9877656,
1714,"This magazine contains tobacco advertisements. Wouldn't be a problem, but I ordered it for my son.",1.0,,,0.90124774,
1721,always good articles.,4.0,,,0.9994653,
1729,"I like this magazine, but after a year subscription, it pretty much rehashes the same stuff as last year.",4.0,3.0,,0.05952689,resolved
1732,"The magazine is starting to have fair to much advertising and less pertinent info on ""Men's Health"".  I might have to switch to something else.",3.0,,,0.56452006,
1734,"i ordered  men's health for someone incarcerated,  i year subscribtion., out of  that year they only received 2 magazines.",1.0,,,0.99764293,
1740,"A pretty good magazine however, I find I don't read it very much and it just lays around four months and months. I will not renew. Sorry",3.0,2.0,,0.4624247,resolved
1744,"I cannot read this magazine with all of the ads. Every other page is an ad. You get half of the magazine, maybe. Some pages have ads on both sides. Go for HGTV Magazine instead.",2.0,1.0,,0.13464344,resolved
1746,do not want,1.0,,,0.98038685,
1747,"Too many medical prescription ads for the aging adult, otherwise it's pretty good. 4 stars for the ads.",4.0,,,0.62500155,
1758,"If you're a man, no other magazine out there compares. A wonderful price, a wonderful gift for those men in your life!",5.0,,,0.992193,
1762,Awesome magazine it talks about everything a guy should know from health to word robe thanks for keeping me up to date,5.0,,,0.9989799,
1763,"It's a magazine... is there really reviews on those??

 Yea is an pretty nice magazine.  Has all kinds of magazine stuff in it...",4.0,,,0.98895186,
1771,So-so in content.,1.0,,,0.7255329,resolved
1777,Only got 2 of the magazines,1.0,,,0.98327434,
1779,Fun read.,4.0,,,0.99005675,
1781,"If you are looking for wall to wall coverage of Global Warming then look no further, not a lot else to offer.",1.0,,,0.89191973,
1788,Bought this for my husband.  He loves it.  He then passes it on to our son.  Great ideas in the stories.............yes I read it too!!,5.0,,,0.9923812,
1794,It is full of ads but is cheap.,3.0,,,0.47650528,
1797,"Like the Mag but got it so I could view it on like too
That doesn't  work when you buy it form Amazon",3.0,,,0.61640686,resolved
1803,Gave it as a gift that had been asked for. I apologized for the content and he agreed it was not what he had expected.,3.0,,,0.4114771,resolved
1805,"This is the same reason I stopped buying the printed version years ago, more informative articles are required...especially for the everyday man.",3.0,,,0.54209065,resolved
1809,Love this,5.0,,,0.9996414,
1816,I love Better Homes and Gardens. I use recipe from this magazine frequently and always get really good ideas from their articles.,5.0,,,0.9993837,
1834,Men's Health is a great magazine & Kindle + physical copies is so convenient. I love it!! Nddj Kidd djdj <--filler words lol,5.0,,,0.99918675,
1835,"Articles were very good and informative, just too much advertising and not enough usable material to make it very interesting.",3.0,,,0.53258187,resolved
1846,"As with Popular Mechanics, a bit disappointed.",2.0,,,0.9742983,
1849,mostly useless information and way too many ads small in comparison to what they used to be.,3.0,,,0.9554391,resolved
1853,would like to discontinue mt subscription,3.0,4.0,,0.0703432,resolved
1857,I love this magazine because it always has so many useful tips.,5.0,,,0.999974,
1860,Very rudimentary publication. Would not order again.,1.0,,,0.9763349,
1866,Expected more substance.,3.0,,,0.9690553,resolved
1869,Good content--just wish there was more of it!,4.0,,,0.766831,resolved
1874,"I'm writing a one point review because I never did get the magazine on my kindle.  Wow I thought I subscribed to it a while ago.  Please correct.
Diane Boyle",1.0,,,0.99851024,
