review_text,label
This magazine is worth every penney with the great money saving tips and large selection of coupons in it.  It is the best magazine a woman can purchase!,4
"Love the magazine but its ridiculous to pay over $100 a year for a digital magazine.
I'll be canceling it after the 30 day free promo.",0
"Okay, but not the magazine I remember from years ago.",1
Not yet received. Why in the world does AMX Publishing take so long? Bad for their corporate reputation.,0
all gimmick and hype with your cover girl vani hari.,0
"I have a subscription for the Digest, but for some strange reason, I have yet to receive January 2010.  I am not happy about this.",2
My favorite magazine. Fun and informative articles for history lovers. Wish I could download past issues.,4
this magazine will mostly give you complex advertizing disguised as reviews and reports. very little practical use.,0
Nothing but ads,0
"Great magazine, good tips and tricks that you can apply to every day riding.",3
Too many ads!!!,2
mostly advertisment. boring stuff. very few new ideas for reusing things...,1
The liberal media run amok. It's sad that such an iconic periodical has been seized and destroyed by political protagonists.,0
exactly what I was expecting and delivered super fast! thanks!,4
"Tells people how-to paint, not about art making.",1
It's not the greatest. Like all mags nowadays it's mostly all adds. Most of the info offered is all free online.,1
Great magazine with wonderful tips and trends but never as good as the hard copy version. Great for travel though.,2
Advertisements,0
"pretty sure I never read one of these that came in, i don't see the need for someone my age to order this (age 25).",1
this magazine  stopped  coming to my kindle though my subscription is still active.  so now i pay for the subscription pkus individual issues.,0
For a magazine about active healthy life it's full of ads for bad foods. I cancelled the subscription.,0
"Received quickly, very happy with purchase.",4
Great and inexpensive ideas for the home.,2
"Being a traditional quilter, the so-called new ""fabric and pattern choices"" does not quite appeal to me.  Neither does the many small project designs.",2
My child asks daily if he has a new magazine in the mail.  This is so awesome for a little nature lover.  Highly recommend.,4
Have already ordered this in another order.  Don't need any more.  Thanks.,2
I love the creative and thought provoking design ideas. I appreciate the articles that consider cost saving construction methods and also the interior decorating ideas.,3
I like it a lot so far.,3
This magazine has become nonsense.,0
ESPN will make you put in a credit card number to get access to the insider service even after you get your first magazine.,0
Magazines are just one of these things that aren't like they used to be.,2
"what can i say, it's a motorcycle consumer new mad....good info",2
"The stories are varied and well written.
No dislikes!
We don't know of anyone who would appreciate these stories as we do.",4
Don't bother to subscribe if you don't care for dead animals in your decor. This month's issue had a dead lion in it. Ugh.,0
i love redbook it is a awesome magazine. I am hapy to be able to renew my subscription and think it is a great magazine for all women.,4
Best astronomy magazine,4
she loves this magazine,4
"i like the magazine, but can't figure out how to cancel the auto renew.",1
Too many advertisements and too little articles.  I will not renew.,2
Good magazine for unbiased product reviews.  I don't like it that they hit me up for a donation a few times a year.,3
I never received this magazine so how would I be able to rate it??  I cant even find a way to let them know I never received it.,0
It was just what I was looking for. Will use it every day.  Very inspiring.  Wonderful for Advent and beyond.,4
print was too small and I was unable to use Kindle feature to enlarge it.  Was unable to read it.,0
This should be free before any one buys it.,0
I hadn't read Woman's Day in a while. I found the variety of topics interesting and enjoyable to read.,3
I love the articles in this magazine.  They're very insightful and ahead of their time.  I've had a subscription now for years,4
"I like this I used to get it years ago.  I guess I'm not into country as much as I was then.  Lots of ""catalogy"" things, that's not so great.",2
I love this magazine and have ordered it for years. It was nice to be able to order it through Amazon. It was a reasonable rate as well as being quick and easy.,4
Nice to have a publication for the enthusiast. Good articles with an emphasis on gear and technique.,3
I purchased this subscription for my niece and she LOVES it!  Perfect for the young horse lover in your life.,4
"A self-absorbed, narcissistic rag!",0
"It is great to have both print and kindle editions , and it was very easy to order it. The printed edition came when expected.",3
"I haven't got anything from Dwell, so nothing I could say. I gave one star because I have been waiting for a long time, nothing coming yet. Don't know why??  :(",0
THE WHOLE FAMILY LOVE THEM AND THE TASTE IS GREAT.,4
Received my first magazine in May and it was the April issue.  I hope they don't charge me for a month old magazine.,2
Never managed to download the magazine,0
Way too much advertising and most content was not of interest to me.,1
"Nice exploration of current happening in Tech. Much more than Popular Science, but not as deep as Scientific American. I look forward to each issue",3
This is a great magazine. I get a lot of ideas from it. I have had a subscription for many years.,4
Good magazine. I found the articles helpful,3
My all time favorite.  Best articles  good variety.,4
I have been subscibing for over 30 years now and Amazon offers the absolutely best rates.  Extending an exiting subscription couldn't be easier or more reasonable.,4
great gift item to get each year. Lots of great things to read.,4
My son loves this,4
I have been a Sunset magazine subscriber since the 1970's.  I love haing it with me on my Kindle.,4
"This is two of my favorite things combined in one. It has all kinds of tips, fun facts, & great photos!!!!!!!!",4
I CAN DO WITHOUT A LOT OF MAGAZINES BUT THIS ONE IS A MUST HAVE. I GIVE SUBSCRIPTIONS TO THIS MAGAZINE EVERY YEAR TO MY BEST FRIENDS.,4
"Subscriber still reads,
but too much SPONSORED content.
*Small* print. Please teach more!",2
"FAR more left-wing than I remembered from years ago.  If you tend to be left-wing, this magazine will by and large reinforce your positions.  ""Fair",1
Some good recipes but really seems like every other page is an advertisement as the time goes on.,2
"I love this product as it really gave me information on what was going on in the sports world, especially for those who are kids.",4
My mother and I read it cover to cover.  Worth it!,4
Love seeing all these ideas about crocheting. Love the format and the designs. Also the directions seem easy to understand.,3
This magazine did not download. I wouldn't give it even 1 star but I  couldn't submit a review unless I did.,0
"I personally have read Guidposts for over 25 years. I love it so much, I have given it as gifts for other people to enjoy!",4
Disappointed with this magazine. I thought it contained coupons.,0
We love Real Simple.,4
I really would like to review this item but I still haven't received it!,0
I LOVE THIS CREATIVE LIFE AS IT IS MAGAZINE !!!!!!!!!,4
The Best!,4
wonderful magazine...gives timely information in entertaining ways.  Articles are wonderful.  The guides and menus are terrific.  I look forward to receiving my issue every month.,4
I was ordering for 12 months instead I only got 4 months rip off.,0
Love the magazine and the price. Been reading it and enjoying the stories,4
"The delivery was quicker than expected. The magazine is as I expected. Well represents O style - elegant, classic, something for all price ranges, beautiful and practical items",3
"Just about everything you want to know about the make-up world is here. Highly recommend this magazine if you are interested in make up, special effects or beauty.",4
My grandchildren loved the magazine and cannot wait for the next issue.,4
Cancelled. Too much filth,0
"Subscribed through Amazon for one year from July 2014 to July 2015. Got automatically renewed in April 2015 without notice, three months before it is supposed to renew.",0
"I didn't find many recipes that appealed to me.  When I read Cook's Illustrated, I can't wait to try many of the recipes.  Lots of advertisement to get through as well.",1
Very few recipes that are of interest to me.  I am looking for healthy and recipes for one or two.  Waste of my money.,0
I love science and this magazine keeps me up to date on what's happening now and hopefully in years to come.,4
The Sports Illustrated magazine came just in time so we didn't miss any issues.  Thanks.  Cheaper than renewing elsewhere.,3
"Too many ads,  very little content.",0
I look forward to Flying more than any other magazine I read.,4
enjoy all the recipes,3
Not much there for me.,1
"Not sure yet as I have the 4G Kindle and the file is too large to download, needs wifi and can't do wifi without help. Can't access 'mayday' without wifi.",3
totally useless. Do not renew,0
Way too many advertisements and they don't show anything on until after 7 pm disappointing,2
Awesome! !,4
"Much as I thought I would enjoy this magazine, there are just too many adverts for junk, I can hardly get myself to open it, and a few have gone straight into the trash!",2
Great price on magazine... super great price offer....great magazine for pool side reading. would do offer again when available thanks,4
daughter who loves history enjoys this magazine,3
Nothing wrong with the magazine it's great but it took a month or so longer than it said till I received it. ;(,1
"Interesting articles and papers on a wide range of subject including those close to home e.g. Alzheimer's and Dementia.
I found the articles on climate change issues interesting.",2
"Love this magazine!  The recipes are awesome.
This price was the best deal I've paid compared to past subscription Thanks!",4
"i recommend  this magazine highly, I found a copy at  the gym where  i go and fell in love with it.",4
I ordered a 1-year subscription 1 month ago and have yet to get the first copy. What's up?,0
"I usually thumb through Bicycling mag., but i read the MTB supplimental from front to back.",3
"Love this magazine. As a female, can't live without it. Filled with awesome tips and tricks, build plans, and inspiring ideas",4
I love this book!  All recipes has the easiest to understand and fantastic pictures!,4
Bought it for my Nana. She loves it,4
i CANNOT TELL YOU HOW THIS MAGAZINE IS AS ALL i GOT WAS A LETTER THAT THEY WERE BACKED UP ON ORDERS AND WOULD RECIEVE IT LATER. THAT WAS MONTHS AGO.  WHAT HAPPENED.,0
not as good as i thought it was gooing to be,0
"It would probably have been a good magazine, but I never received a single issue, so who knows ?",1
This is such a great magazine.  Our patrons love the information and ads in this magazine.  One of the most popular,4
Love this magazine. Has some really great ideas and tips for everyday around the house or wherever.,4
"This mag is gorgeous....the recipes and articles are so well done, sometimes I just love to look at the pictures!",4
"I LOVE this magazine!! It covers everything!  Great reviews of movies, books, TV, DVDs, stage and more.  Also articles on select topics. It's awesome!!",4
MY ALL TIME FAVORITE MAGIZINE!!!,4
I'm a novice brewer so this magazine really did a lot to assist me. I loved recieving it everytime. Great buy for any brewer.,4
"Recently the publisher has taken to publicly bashing presidential hopefuls.  Their comments are racist and inappropriate, I will not pick up another GQ.  Cancelled immediately.",0
"I am very disappointed, I have not received my first copy yet...I am hopeful it will come soon...I KNOW i will LOVE the magazine...just waiting...",0
Good source for new recipes..,3
"I love this magazine..I look forward to receiving it every month...Lots of good articles, useful tips and really helpful material.",4
"mustang magazine was bought for a mechanic and mustang enthusiast. He seems to enjoy the magazine and the information in it, so seems good to me.",3
"This is still a good magazine for mystery lovers. I particularly like the new columns. The stories are varied; some I loved, some I didn't and I'm sure it's just my taste.",3
"otherwise I wouldhave not ordered it, it is pretty much ads ads ads and not much else - what are you gonna do lol",0
Disgusting and inappropriate content I would not put in front of my teen. Canceled.,0
"Love it.
Great magazine.",4
love everything about this magazine,3
Meaningless!!! just page after page ad...content is nothing to be excited about...Don't buy,0
Oprah was a $5.00 magazine for one year so it was hard to pass up. Perhaps a 3.5 to 4 stars may have been better. But quite frankly I purchased it for the great price.,2
Difficult to view online.,1
Allure sent me 3 magazines in the space of a month in order to get rid of back issues. Very disappointed.,0
I always loved National Geographic.  This is a fabulous way to learn.,4
Plenty of easy recipes,3
not as expected,1
"In my opinion, it doesn't have alot of content and might as well subscribe to their facebook page and get it there for free",0
"you're a business magazine, not a right wing political magazine.  Steve Forbes' greatest problem is that he's NOT HIS FATHER.",2
Good luck reading this on a smart phone or kindle. The text is so small you'll spend half your rine pinching the screen and the other half cursing.,0
"I've wanted this magazine for 6 months, and finally splurged and got it.

I love reading this magazine each week!  Puts all other news magazines to SHAME!",4
Got this for my niece. She loves it.,4
Great content. If you use the harbor freight coupon in the back of the magazine it pays for itself in no time.,3
"Always some nice photo shoots, though they tend to go back to grungy a bit often for my taste these days.",3
I ordered on Oct 24 and as of Nov 30 I have not rec. so I can not review Amazon service but I do love this great coupon magazine when I have bought it at the store.,2
"It's ok for $10.  Not much to it, page wise.  Won't renew.",2
My granddaughter is a young teenager and loves the articles and the posters that are included. She looks forward to each issue!,4
i love reading it on my kindle and get all excited when there are references to past articles and then sorely dissapointed when the links don't work 75% of the time,2
I got the magazine when I thought it would never get here. I got the free scarf but never got the other two booklets. Not really that impressed.,0
Great magazine full of recipes and information on eating healthy. I would recommend this magazine for anyone who wants to change to a healthier lifestyle.,3
not a interesting as i thought it would be,2
Great recipes that include basic nutritional data so you can easily decide if a dish is right for you. Easy to navigate on Kindle Fire. Tablet bonuses are great.,3
The subscription process was easy ant the first issue came earlier than estimated .Price was half of a renewal,3
One of my favorite magazines.  I always sit down within an hour of delivery to view the images and read the articles,4
I liked the older version better since I was able to access older copies much easier than with the new one.,0
Cheap. Threw it away immediately.,0
Just received my first issue...earlier than expected...enjoy this magazine much!  I like reading issues from a man's point of view.,3
GQ Always great!,3
"I've been subscribing to this magazine since it first came out, and never plan on missing an edition! Simple, timely, and great for a vegetarian household.",0
My favorite :),4
Vanity Fair has interesting content if you can find it among the ads.  Amazon subscription services offer a nice discount--just hope it was not a teaser rate.,3
"Won't download on any of my devices - 2 Fires, Paperwhite, Kindle Keyboard, android phone or my computer. Waste of money",0
"Good for those who want to learn more about health, exercises, and beauty.",2
Horrible beyond description. Bad customer service and declining quality of articles as well. I will walk away,0
After 3 months I'm still waiting for the first exemplar.,0
I get my subscription very late in the month or not at all. Not consistent.,0
Good articles. Easy to find what you're looking for.,3
never realized how many advertisements are in this magazine ..... and not that many articles.  decided i don't want to pay for the subscriptions.,0
Just what my daughter wanted!(She's a big Robb James Collier fan!) Thanks for getting it to me so quickly.,4
Who buy this crap?,0
Really enjoyed this magazine & especially all the great ideas.,3
Good magazine for all kinds of info and everyday tips.  I recommend for all.  It's my favorite magazine of all.,4
"I will never buy another cosmopolitan magazine again. I cancelled my subscription a while back and after their attack on Ivanka Trump, I am finished with this magazine.",4
"As most magazines go, some issues are better than others, but usually a good read.",3
"Great outdoor magazine, but too heavy on Canon for my taste!",3
Just tells stats,2
"The kids love it, and the adults learn from it also!",4
This month's (Sep issue) Kindle Road & Track has been  supplanted by an issue of Seventeen magazine.,0
"I don't see why it wouldn't be, since it is available for all the other Kindles.  I'm sorry, but an app doesn't cut it.  I want it in my newsstand, please.",0
Love reading and getting new ideas. Always room for improvement that's why I didn't give 5 stars,3
Ridiculous that paying for the online edition doesn't get you access to the Kindle version as well,0
I love the down to earth feeling of the stories. Regular people going being lifted up. It's a really uplifting magazine and perfect for any age.,4
"I typically like this magazine a lot. I purchased my subscription over a month ago, so I'm just annoyed that I haven't received my first issue yet.",2
"Nice magazine
Car seat returned because it was a duplicate",2
Perfect magazine for the west coast.,4
"I like it and will order it again when my subscription runs out

I don't read certain section but the others section are good.",3
Never was able to get  digal access,0
Please do not renew,2
Vain Hair? Really? I'm unsubscribing.,0
"Don't know what happened or who to call, going on 7 weeks and still no magazine.",0
Have had subscription for years and then found the price here was better than direct renewal.  Continues my subscription without missing an issue and no overlapping issues either,4
"It is so full of amazing health facts, fun facts, great recipes and ideas, money saving reviews, etc.  I also love the crossword puzzle.",4
I felt it had too many advertisements.,2
Love this magazine-always have. I look forward to receiving it every week in the mailbox and of course the year end special.,4
I LOVE this magazine!,4
"Dislike, feels pretty narcissistic to me",0
only recieved one issue,0
An OK magazine.,2
"I have been a subscriber to this very inspirational book.

I recommend it for all Catholics and all Christians in general.",4
The articles have gotten very gimmicky with misleading headlines and pandering subject matters. It's a real shame wired sold out.,1
The grandsons love reading this magazine every time it arrives. They love the pictures and stories.,4
"is very difficult to read these kind of documents because the reader never has an idea of all the information it brink, in spite of the index.",1
"Disappointed it is not a complete daily schedule. Couldn't figure out how to add to Kindle, bummer.",2
"Not exactly what I expected. Actually not even close. A bunch of crappy ads for surplus military stuff, black guns, etc. I thought I was going to get some news about shotguns.",0
Definetley wasn't what i was looking for. I wanted recipes .  Paid 3.99 pretty much for nothing. Wish i could have gotten my money back.,0
"crap...can't get it to download on my kindle oasis!  says it needs an update to load, but there is no update! my kindle is supposed to do it electronically automatically! s***.",0
"Invaluable AND entertaining articles for all writers and even ""wanna-be-writers!""  Love the colorful Kindle format convenience, style and great readability.",4
"Again, this was a gift and I have heard that the girls liked it a lot.  I have not
looked at it myself but I believe it must be good because these kids have
everything!",2
"Good mix of fluff and some news.  Not exactly an academic experience, but relaxing.  What can you say about a fluff magazine?  Don't buy for educational reasons.",2
Best fishing mag ever,4
about the size of A NEWS PAPER ANY MORE,0
"don't like not being able to view across all devices including pc and mac
cost enough i should have access were ever i want",1
Great magazine and love Jimmy the Bartender...,4
There is very little substance to this magazine. It is primarily advertisements.,1
"My husband LOVES this magazine. It is just technical enough to keep his interest, but not too much to where he can't understand the articles. It is a great gift subscription.",4
My fiance enjoyed reading the books.  And I than the Amazon team for great customer service..,2
"The O magazine is great and Amazon offered a great deal.  Great articles, pictures and enjoyable to read.",4
This is quite the intense magazine. Lots of step by step projects that seem helpful. It just doesn't seem as relevant today with all of the available free DIY resources out there.,2
Anyone interested in how the mind works can't help but be fascinated by nearly every article in each issue.,3
I'm sure I would love this except I can't download it and I've been charged for it!,0
"I've paid, but I never see the magazine anywhere. Wasted 3,99.- for nothing. I wish I could get my money back.",0
Full of ads,1
"MIXED FEELINGS, BUT ONLY HAVE RECEIVED  FOR 2 ISSUES.",2
This magazine used to be a great read but now it seems to be all smut.  Really to not like it anymore.,1
"great price! I love the maxim company, and i wanted both print and the electronic version so this was a must buy! A whole year subscription for cheap! Love it!",4
We have never received any of a one year subscription.  Christmas present to granddaughter....Poor choice on my part.,0
I like it very much I got my first issue way before I was suppose to get it. I was surprised it came so early,3
Its an ok mag.,1
"I love it!  Complete with a shopping list.  Although, I wish it had even more recipes!",2
"Probably is a good stuff for people who knows the art of crochet; but , it did not feel the expectations of my wife. For entertaiment of beginners is not a good guide.",1
This magazine is quite dull and uninformative. How about a bit more technique or something useful? Nothing left to say to reach word minimum.,0
"Their website used to be an authority site. Now, they have turned it in to a pop ad, spam site? Its crap!",0
"Love this magazine. Love how thick it is, and how I try so hard NOT to read it all the first day I get it. : ) Highly recommended.",4
What a terrible magazine. A waste of my money for sure. Didn't get a single thing out of it. Would NEVER recommend this to anyone!,0
I didn't realise that I would be put into a once a month book club by getting the subscription.,0
i needed it,2
I have subscribed to this magazine for years. Now I ordered it on kindle.  Recipes are always exceptional.,4
Just what I was looking for!,4
The magazine is not what I expected.  I do not want to renew it.,1
The magazine has gone downhill in the last few years.,2
Daughter loves the magazine. Lots of coupons. Lots of great recipes. Absolutely the best magazine I've had in a long time. A bit pricey.,4
I have gotten only a couple of issues since I subscribed to this,0
NEVER use it.... prefer magazine.  Takes forever to download and takes too much space.  LIVE FOR AND LOVE the magazine and articles!!!,0
Just don't like the format on my tablet,0
Popular Science is a great magazine at a great price. I read every word of the first issued I received.,4
The price was right and it was my first magazine for my tablet. Still learning,3
Love dr.oz he is the greatest.,4
Love this Magazine. Highly recommend for entertainment!,4
Magazine should definitely be less expensive for a tabloid in e-form....good to pass the time in a doctor's office or something though.,2
Not what I thought it was going to be doesn't have the info for the type of car I have in it.,0
F- is how I rate the Readers Digest review.  I never requested and one year renewal!  I am not going to pay for the one year auto renewal as I never authorized it!,0
I have tried many times to cancel my subscription. I do not have wi-fi anymore. I'm paying for nothing!!! HOW DO I GET AWAY????,0
"Took a couple of months to get but thats normal with all subscriptions.  I love the magazine, has great ideas and perfect layout but Just too many ads",3
what in the world happened to Maxim????? If I knew it had changed so drastically I would have never bought it. Do Not Buy!!!!!,0
"Good, even The shortcuts!",3
"Great buy for the price. Does have lots of ads but makes up
with good enough content.",3
I love the Fill It ins. I love how hard they are at times. But th s ts good for the British s in,3
Too liberal Please cancel,0
Great magazine! Wonderful articles and home town life.,4
Do not know why anybody would buy it here. Bloomberg web site directly sells it to you for 19.99/year or 29.99/two years.,0
dull; all advertising,1
"Once you've gone through one year's subscription, it's starts to seem repetitive.",2
Yes great,3
Ordering a subscription was so easy and rhe price was great. Auto-renewal will ensure I don't miss a future issue.,4
I love this magazine !,4
"I really like the articles, and the layouts are great.",3
Great magazine for a very low price,3
Love this magazine. The article's are fascinating,4
the packaging of the mag is broad and the price is high. i typically read two articles per issue. pls think about four dollars per mo,0
Easily my favorite magazine !,4
"i need to cancel this magazine asap. my problem is i'm on the road with no access to internet. kindle people, please read this!",0
Save your money and go on the National Geographic site and get the same 12 months for $12.00.,0
"beyond not getting all my magazines like i was supposed to, the magazine itsself was very informative and interesting.",3
My daughter didn't like this magazine - she flipped thru it once and was bored.,1
Love it always have always will print or digital!,4
"Bag and physical copy came separately, in that order, within 3 weeks of order!

Love this magazine! Makes me a little more motivated to workout!",4
Truly great fiction in every installment.,4
NOTHING BAD TO SAY,2
I've just terminated my subscription to Country Living because at least 60% of the content is about antiquing. Great if that's what you're interested in... but I'm not.,2
misleading - says full access - u don't get the web lookup site access .. only the magazine in paper and digital form,0
Worthless Fake 'Time' magazine..!!!,0
Love it. Just as I remember.,4
Receive on time and magazine is good,3
Not available through prime. Not free.,0
My husband was pleased with this subscription. he loves reading articles about these topics and would probably subscribe to this magazine again.,3
"One of my favorite magazines. There are usually several articles that make it a good purchase. It is good for families, parents and people who like to do home projects.",3
"I love love love this magazine.  It has so many ideas and suggestions on all areas of my life.  Worth getting, and very hard to give away once it's read!",4
"I like most of the decorating articles, real people doing real things to their homes.  The rest of the magazine is okay.",2
Each edition has a nude in it.,1
"Do not buy. You get a 4 or 5 issues, then they stop. Contacted Amazon, got 1 more issue then they stopped again. A rip off. We need a NO star option.",0
"this is a good ""mens"" magazine with a lot of good articles and fashion advice for men. The price very reasonable.",3
Cannot cancel it easily,0
First issue of my subscription arrived within 3 weeks of ordering online. Also liked the fact I could find a 6 month subscription for under $22. Very impressed!,4
It's not that $18 is expensive its just that out of a 12 issues 4 maybe really awesome and the rest are so bad you can't believe it's O magazine.,2
GREAT DEAL,3
the best magazines Le Journal Du Patissier and the best of best,4
"Perhaps this magazine deserves more of a chance, but I had been hoping for more clever content and have not seen it so far.",2
Total rip off. Auto renewed subscription without any warning.,0
Love readers digest been a reader good long time.,4
This is a wonderful magazine for Women over 40 years old.  Great beauty tips and other info for our age group.,3
I Love all the ideas of home styling it has been a big help when decorating my house. Thank you,4
Simply the best overall bodybuilding  magazine bar none! I'm very happy with my subscription and definitely plan on renewing. A+,4
thought i was purchasing people magazine.  nothing but advertizing,0
Mostly adds hardly any good content,0
This magazine is for the person interested in the big diesel machines out there on the road or in the field.,3
Subscription started sooner than expected.  Great price.,4
I got this as a gift for my dad and he loved it! Thanks so much! :),4
I cannot open this magazine on my kindle. I will have to return it.,0
This is a wonderful publication.  I can't wait until it arrives and I immediately read it from cover to cover.  I just received my second issue and I'm sold.,4
