review_id,review_text,label
2618,"This was a birthday gift for my sister, she's 70 and loves all the ideas which she does herself.",4
2659,I have tried and tried to get Julys issue on my kindle with no avail,3
2697,"The best of the intellectual and, why not, the absurd. Entertaining, thought-provoking. Worth every dime.",5
2802,Better homes and gardens is a very enlighting book. I find the articles very informative and the recipes very good,3
2849,The font was too small I Found it hard to read .and it was too liberal I did not beleave a lot of what was written.,1
2869,I can't give a true review since I haven't read them. But the pictures are great and my husband was truly thrilled to receive the subscription.,4
2890,Never got the digital version,1
68442,"Amazing Quality, Great content and good price.
National Geographic is really worth the try. Go ahead give it a go",5
2941,Canx my subscription....way too much advertisement!  Keep in mind though. I hate commercials!  Only exception is Superbowl!,1
2981,It took forever to get 1 issue! will never order again!,1
2985,"Love this magazine! I am a visual learner, so I look forward to learning  tricks and tips to common household projects. The new tool reviews have been spot on as well!",4
3010,Good articles but print too small for people who are visually challenged.,3
68554,"Gave as a gift, she loves it!! Customer support was awesome very helpful!!",4
68568,My husband didn't enjoy it.,1
68579,"Practical and technical tips for all ages.  Rated 3 star for several ads that should not appear
for young readers.",3
3067,Always a favorite magazine of mine.,4
3087,"I liked the magazine, but did not wish to commit myself at this time/",4
68656,"Great magazine, love to read!!",4
68684,I think I read every article. Can't wait for next issue.,5
68699,First time I read this magazines. They have a lot of interesting article and good point of view. I enjoy reading it and hAve added it to my shelf.,4
3178,I'm very please with my subscription.  Every issue is on time and filled with all kinds of ideas!  Thank you!,5
68726,"Never got the item (over 6 weeks waiting!). In the end I had to cancel the order.

Nunca me enviaron el magazn. Al fin tuve que cancelar la orden.",1
68753,"I have never been able to use with Kindle....
AFTER MANY MANY attempts.
This has never been all access at all.",2
68864,Have not been able to access anything. It's very complicated to get it to work. Was really looking forward to reading Wired but no such luck.,1
3345,Cannot live without Texas Monthly!,5
3348,I really enjoy reading about events in the area. The articles are relevant and touching. My husband and I both enjoy reading it.,5
68945,"Great Magazine
I love reading it on my kindle
I would suggest for anyone and everyone
Easy read on your kindle",4
68987,Not coherent takes forever to get through and waste waste waste waste waste I rather have physical mag with me on my trips than digital,2
3483,ITS OVER 1/2 FULL OF ADVERTISEMENTS.I WILL NOT RENEW MY SUBSCRIPTION,3
3495,"This is truly one of the best written, most interesting magazines available. While its appeal is mainly to Texans or former Texans, others will find the articles interesting.",5
69086,Long lead time for the orders. After few weeks time I am still waiting to get the first issue...,2
69088,My 10 year old daughter loves this magazine!  There were no problems with the subscription.  Perfect tween/teen magazine!,5
3575,There are way to few helpful articles in these PC World and some others. 80% ads and it's a waste of trees to make the paper.,1
3595,Product was as described and shipping was very fast,5
3635,Its an ok mag.,2
3639,"I am a long time subscriber to Texas Monthly and have received the past two monthly issues previously, Why would I want to re-read the same old crap?",1
69187,Not a magazine ...it is one big advertisement.  I had high hopes for this publication.  Stick with Traditional home or one of those.  Big disappointment.,1
69192,"Lots of ads; not much substance at all in the body of the mag, especially when considering the cost of th mag",1
3658,Best! Great project ideas,5
3664,"Ordered magazine on 12/27/08.  As of February 27, 2009 still have not received my subscription.",1
69206,Subscriotion has yet to start after 8 weeks.,3
3673,"I am unable to review the product PC World, I haven't heard anything from the publisher or received a copy yet.",1
69219,Love Allrecipes!!  Great recipes!  It's the only site I go to for any recipe.....they never fail me!!,5
69220,Pretty good recipes,3
3830,"It's a good read but I'd like more diversity.  I had this subscription a couple years ago and it's fairly similar.  There's lots to discuss, bring the new articles!",4
69379,"It's good, most recipes you can get online now but price is good",3
3881,I get the Standard on my Kindle Fire and it works well.  I find the articles varied and interesting.  It's nice to get a different perspective on issues.,4
69426,"The book is great, to difficult to read on a kindle 7""",3
69462,All ads. Terrible !,2
3951,"I really like this mag, but hate the extreme number of ads.  I realize that advertising supports the mag so I just suffer through them.
The ads are why it gets only 4 stars.",4
69523,Not a full sized magazine like it used to be.  Small 1/4 sized pamphlet.  Not worth the money.  I cancelled my subscription.,2
69529,Disappointed.  This magazine never had adds and now it does....,1
4011,"Wonderful magazine with tons of ideas and current trends in decorating. Nice color pictures, informative articles and good advice from the pros.",5
4015,I'm glad that i'm now receiving House Beautiful!,4
4055,Could not beat the price on this. Very nice magazine.,4
69628,"VERY GOOD RECIPES, AND EASY TO FOLLOW",4
69631,"Very good recipes, easy to understand. Normal everyday recipes not just fancy,but those a family would enjoy.",4
69636,ive only gotten 2 issues so far,3
4211,Didn't order this.  PLEASE DON'T ORDER THIS MAGAZINE.,1
4279,Every month I read most of the articles in this magazine.  It is an outstanding source for what is important in Texas.,4
69839,Love the recipes. Love the articles. They really make it easy to find a recipe. They are always my go to book when I need an idea for dinner.,4
4357,"Best magazine ever !!!. Unless you pay others to do all of your house repairs. It includes many tips from auto to woodworking, its good for any guy.",5
69900,"Everything that used to be good has gone to the dogs these days, including Taste of Home magazine! The Liberalites have taken over. Sad!",1
4398,This is a great magazine for anyone who lives in Texas. They feature unique and interesting articles about a variety of topics from the state. Alway a joy to read. Great magazine!,4
69935,"I love this magazine. I love that I can get both hard copy and digital copy.
I just do not like the automatic renewal.",3
69936,I never used this feature.  I'd rather have the physical magazine than the digital version.  I like the tangible feel of the magazine.,2
69946,"I cannot get this to work on my iPad, even though I have in the past. Conde Nast has the most confusing interface.",2
69956,The content is often quite good. But the use of dark colored papers makes it difficult to read.,4
4425,I can't review the Monthly at this time; simply I ain't received it.  LOL,1
69965,"This ""magazine"" is at least 50% advertisement.",1
69971,"To date, I'm still not sure this magazine is saying, so I canceled it.",2
4435,STILL waiting for 1st issue to arrive!,1
70007,"solid magazine, glad for the subscription",4
70023,OMG the ads take up half of the magazine.  I could fall asleep before they get to the good articles.,3
4493,I love these magazines. They are really helpful and help you think of things that you normally wouldn't. They have many great ideas with cut sizes for wood projects.,5
70048,"I bought this for my son, he loves it.  Delivered when it said it would be.",5
4532,I did not like the magazine.  Cancelled the subscription after about 15 minutes. Lots of ads and not much to read. Sorry.,2
70085,Tried and tried and could not get the all access to work. I tried e-mailing them for help but to no avail.,1
70091,"But really, it's only the paper edition. We were disappointed and, obviously, we didn't renew our subscription.  That's too bad.",1
70129,"great product for the money.  Love the paper version as well as the digital version.  Especially the recipe section, it is very convenient.",5
70153,Don't bother the spam of emails won't stop even after you request to be taken off email list,1
4630,I don't like Texas Monthly.  Never have.  Some people want it just 'cause it's about Texas but it's not worth it.  Read somebody else's copy.,1
4635,"This magazine, first issue came before I expected
but good to have. Nicely done. Bought the subscription
for $39 for 6 mos. You get this US Wkly every week!",4
4645,I have no idea how I ordered this for a whole year. I don't even look at it that much. Do not like it,1
4666,"For a good price, this is a nice magazine for travelers to have.  Mainly its use is as an idea generator.",3
4679,No info for print subscriber to assist in understanding digital policy?  You just  want me to pay...again?  Not everyone buys Apple.,1
4696,Disappointed.,1
70243,Can not access on line. Very disappointed. Only gave 1 star because I had to in order to get to this point to rate!,1
70259,Love this magazine! Great interviews and articles. This is my second yer subscribing the magazine and I will definitely do it next year too.,4
4750,Going to cancel. Surface news not substance.,2
70298,"I only got to see the second issue I received, since the first issue disappeared before I could read it.  I didn't like the story I read at all.",1
70301,"The perfect bite-sized goodness.  A work of art, a short story and a poem.  I look forward to this every week.",5
4768,ENJOY READING,3
70319,"disappointing - totally obscure, boring, will stick with the NY Times book review on Kindle to discover new authors and interesting essays",1
70325,Sorry to be the first bad review but I never found any of the stories interesting except 2 and I apparently don't like poetry which I've never tried to read until now.,2
70430,One of the most lovely magazines out there!!,5
4920,I currently subscribe to this magazine and don't want to order a new subscription to have it available on my kindle.  Bad call.,2
4956,Superb magazine with beautiful ideas for decorating your home. Application and selection of colors bring out the best in design features.,4
70506,"Never got the hat, the auto renew was kicking in for way more than it was worth.",1
70527,canceled it,2
70529,Good service from Wired! One of the best magazines left to date,5
70542,Never got my hat,1
70561,Great deal! thanks,5
5035,"Great articles, fast shipping",4
70623,I have not been able to access it.,1
5100,"Good magazine, nothing spectacular.",4
70644,not worth the bargain and they end up charging you a higher rate.,2
70660,"Great hat and an even better magazine. Thanks, AGAIN, Amazon.com",5
5128,Written for 90 year old men waiting in dentist offices.  Just awful.,1
70668,never got the messenger bag,2
70673,"Wired is my favorite tech pub, continues to have great content",4
70697,Never received the messenger bag ordered with the subscription,2
5198,It was a Christmas present and did not start until weeks later per email. It's middle of January and still not receive it?,2
5218,"love these mags, they stimulate the mind.",5
5220,about 95% advertising...I cancelled it...,1
70807,"I was first enticed by the free tote. Then I actually got the magazine and fell in love with it. It has great recipes and a great knowledge of good food.

Subscribe now",5
70830,Love Vanity Fair! My go-to magazine! The price was great too! Now I can read the magazine in print and digitally and received a cute tote bag as well!,5
5360,"Ordered House Beautiful on December 8,2009 - but haven't seen one page of it yet.  Where is it???",1
70949,The bag is awful. The magazine is wonderful. The articles and photography are first rate. The bag is an awful shape and awkward to use. A tote would have been better.,3
5416,I ordered this magazine on 11/30 -- it is now 2/1 and it still has not arrived.  Can't really rate the magazine since I haven't gotten it yet.,3
70952,Although I haven't received the actual magazine I have enjoyed reading the digital version. A good way to carry around the magazine's.,4
70975,I've never received any print issue.,3
70986,It's like some cheap free gift. Whatever.,1
70988,Worst free gift ever - went in the trash! About half the size it seems and made of a cheap shiny poly-plastic. Disappointing for a magazine that should know better,3
71015,I like the magazine but have not received the tote yet.,2
5484,We have been receiving this magazine for over a year now and we always look forward to it! So many great ideas and how tos!!,5
5529,Warning! Kindle Fire won't bookmark your page and remember where you stopped reading. Returns to page one when you return to magazine. Makes this mag close to useless.,1
71068,great price and great promotion and very impressed with amazon.,5
71074,There is nothing I can say.... I am not able to down laud the magazine on my kindle fire.  I am waiting in september for my fist magazine.  i ordered in June 22.  a month before.,2
5542,This book had some neat projects in it. I will be making the work bench this winter. I have all the tools to complete the job.,4
71095,Moved in June and tried to cancel my subscription but it is still showing as processing,1
71098,Clutch was VERY cheap and of poor quality! Shame on Conde Nast!,3
5585,"I wish it didn't have so many ads, but I enjoy the other content.",4
5587,"Very disappointed with all the advertising,more ads than articles or information,cancelled after trial issue",1
71161,"Not worth the price,  even if Amazon offer to you FREE.  Nothing in it,  only poker faced modells.  Im not enjoy it at all.",1
71171,Never got the clutch.,1
71196,"The magazine is great, but I never received the promised free clutch which I had planned to give to my daughter.",2
71206,No digital access from an android. Come on Vogue.,1
5716,i ordered this product for Xmas and have yet to receive an issue.  Amazon sold but magazine did not deliver.,1
71260,She always has great tasting recipes just love paula wish she would come back to tv,3
71281,Way overpriced,2
71318,"My granddaughter loves this magazine. My daughter is reading it to her, daily. Ziggy always gives it to her mom so she can read it to her.",4
5857,I got my love of all things gizmo and tech from reading this as a kid.  I learn new things every month.,5
5967,"This used to be a great weekly, but now it is hard to tell the ads from the news.  This is intentional.  I will not renew my subscription.",1
71517,"A little disappointed I can not access the e-version on my pc, only on my smartphone. But, as you would suspect, the content from Food Network is always excellent!",4
71535,"I never received any of the items. i originally placed this same order back in march 2016. i never got that order or this one. not the digital copy, print copy or tote bags",1
71597,"Love the magazines, but i never received the tote bag. :(",4
71621,"The magazine is great, however I never received the tote bag.",3
6152,Even with reading glasses I struggle to read the small font of this magazine.,2
71709,"Do not want, did not order, Please cancel per our phone call. Bad bad bad.",1
71733,Packed with adds. Nothing interesting to read.,1
71755,Magazine has come on time every month and I received the gift a short time after ordering my subscription.,4
71759,I really enjoy the magazine and love the free gym bag!,4
71768,"Bag and physical copy came separately, in that order, within 3 weeks of order!

Love this magazine! Makes me a little more motivated to workout!",5
71780,Have not recieved the free gym bag or the magazin,2
71819,I don't like the fact that I paid for it and it will not start until July.  I am very disappointed.,2
6297,"I wanted to give a gift subscription of PS to my grandson but have changed my mind due to the sexual content of many of its advertisements. Shame on you, PS!",1
71841,I don't have the capability of seeing the magazine.  I'm waiting on the magazine,1
6306,"WELL I GUES THE OTHER PEOPLE WERE RIGHT... WOW HOW MANY ADS CAN YOU FIT IN THIS MAGAZINE?? I THINK 90% IS ADS, THE REST IS NOT EXACTLY THE ""POPULAR SCIENCE"" I WAS EXPECTING...",2
71847,"Have been receiving the HGTV magazine fir a couple of years. Really enjoy the pictures, articles, and the comparison product pages.",5
71852,"Informative, colorful and a great read.",3
6318,wish I hadn't subscribed to it.,1
6345,"As soon as I downloaded this magazine my kindle went slowerer and slowerer. Not to mention,it has a horrible topic. Also I think they read this book in hell",1
71893,I enjoyed every page.,5
6449,Could not download.,1
6474,"Delivered to my Kindle, Whats not to love.",5
6492,great price for this subscription,5
72046,they keep cutting my sub. off.,3
6581,Many articles were surprising and interesting reads. My students could not put the magazine down.,3
72128,Can't locate the magazine on my kindle! Very unfortunate. Also can't get help from Amazon as they hide their telephone number better than a virgin hides her panties!,1
6639,I look forward to receiving this magazine each month so I can throw it directly into the garbage. 99% adds with 1% fluff content. Awful waste of paper.,1
72178,This is my very favorite magazine - it helps me to dream and reimagine my home!  I share it with my daughters after I am done with it.,5
6664,"I Love it,,,,Special Digital Deal",5
6666,Beautiful !,5
6690,Gift for my dad. He likes it better than popular mechanics,3
72275,"My favorite cooking magazine, always great recipes and well organized table of contents. If you are looking for one cooking magazine to get, this is the one!",5
6781,Lot's of ads Articles boring. Used to be my favorite. Read it in 5 mins and throw it away,2
6782,Another magazine just for advertisements,1
72327,not able to access the magazine on any of my devices.,1
72349,"Very unhappy, Unable to get my digital copy on Kindle app without being charged again.",1
72368,Could not download to my Kindle.  What a waste!,1
72374,"its ok, typical of magazines today to many ads",3
6840,Magazine content will only be delivered to iphones and andriods. I don't have those so I sort of just made a $6 donation. Don't buy digital magazines.,2
72380,I still have not received a copy on my Kindle.,3
6870,Great coverage of high-tech and current events. A must read.,4
72413,only recieved one issue,1
6882,This magazine has nothing to do with Vogue patterns except the name.,2
6899,Not good at all.,1
6907,"Awful, mostly ads and not much substance. This used to be a nice magazine, but I would pass on this one.",1
72446,Good magazine on handguns.,3
72451,Excellent..,5
6916,It stopped coming to my address.,1
72465,"My 11-year-old daughter LOVES this magazine and waits for it every month with abated breath. I love that it encourages good body image and is good, clean entertainment for her.",5
6950,This has been my most favorite publication. Will continue for thje future. Keep up the good reads. Thanks you again,4
6955,"There is only a small portion that is not ads. Rather than keep the whole magazine I tear out  and file what is important. Sorry,but I was disappointed. Will not renew.",2
72508,It's not good. It's not creative. It's boring. Can I return this?,1
72536,I love having both the print and electronic version!,5
7003,Great magazine to read when you want to know what is happening in the real world.,4
7018,I am not able to read it. My Kindle will not let me turn the pages.,1
7026,"80 pages of ads and only a few with advice, stories, reviews, or actual photography worth looking at.",2
72594,"Always get at least a couple of must-try realistic recipes per issue, and lots of great information on healthier habits. Couldn't beat the deal on this one!",4
72611,Too many times they refer you to the website to get a recipe or additional news.  Why buy the magazine if they do that?,3
72618,I order the 1 year for five dollars and sadly I have only received two magazines. Very unhappy.,1
7089,"A worthless publication.  Cigarette ads, who needs those?  The free gift of a handbag was a piece of junk.",1
7098,Some pages never download I never see pictures I never get it again I pay two times here and on the store,1
72681,Lousy recipes waste of $,1
7202,what drivel - one large makeup ad,1
7205,daughter likes it,3
7235,Mostly advertisements.,3
72774,Kindle version no longer available,2
7259,Never was able to download. This just never worked on my Kindle. Disappointed. Unsure what the problem was just that there was one,1
72838,If a 5 month subscription is $114 then each magazine would be $22. I think savings listed is false advertising.,1
72846,bunch of garbage,1
72898,Please do NOT renew my subscription.,3
72917,"Not fancy for me, but price was right. Lots of ads but have found a few recipes to try",2
72922,"Deceptive advertising: paid for 5 months at the very end of September, received the notice that billing will start in December.",1
72943,"Love this mag, just received issues !",5
7429,"I really enjoyed the content of this magazine, however, I get a monthly charge of $0.99 and have yet to get any content since my initial subscription.",2
72983,Love it. Looking forward to my next issue.,5
72985,This is my favorite magazine by far. It seems to have less ads in it than other mags. It has interesting ideas. I always look forward to finding this in the mailbox.,5
73011,Still a good mag. Petzal is great. But it seems like it's mostly an advertisement for overpriced gear.,4
73018,Ordered in March and have yet to see a single issue.,3
73087,Excellent research and easy to read. Very interesting topics,5
7567,Love the magazine. Only reason for 4 stars is that first few pages arrived pretty ripped up. Other than that it arrived super quickly it's exactly what I expected.,4
73110,Nothing to see here.  Try something else.,1
73117,"been going downhill for 20+ years, now just a waste of trees",1
7648,"First copy came on July 10th, a month after I subscribed. But why was it June`s issue? I did not subscribe for outdated copies of the magazine...",2
73261,"Same every month. Ok for muscle heads. If you aren't one, pass.",1
73293,The magazine frequently has useful information.  Good for the price.,4
7760,"Ordered 4 magazines, started receiving subscritions within 30 days.  UNBEATABLE price and fantastic Amazon service as always!",5
73301,Auto-renewal with zero communication it was going to take place. A reminder or two would have been optimal.,1
73316,So sorry there seem to be more ads than articles. Tried to cancel the subcription but was not successful.,3
73327,"What can I say, it is my favorite magazine and renewing through Amazon is so much easier!",5
73351,my hubby loves this magazine. has lots of interesting articles to read.,5
73368,Cant go wrong with this.  If you watch food network get this.,5
7834,"I hate how the beauty tips don't consider girls with short hair. Also, the fashion it terrible. Who wears stuff like that?",1
7886,"Just full of advertisements.  Zero quality articles.  Not happy with this and won't order again.. I really tried to like it, as fashion is so much fun, but this was a big dud.",2
7893,One of my favorite fashion magazine,4
7912,"I received 2 issues in my dead mother's name.....can't figure that out...she's been gone 2 years.
I ordered Dec 4th, today is Feb 16th, still no Smart Money in my name???",3
73483,Great magazine-thanks!,4
7991,So glad I can now get a subscription to one of my favorite magazines at a reasonable price.  They always wanted too much money through subscription cards inside the magazine.,4
73565,Each month interesting articles to read and use in daily life style. Highly recommend reading.,4
8031,This business of automatically renewing a magazine and making it difficult to cancel is the reason I will never buy a subscription from Amazon again,1
73572,Never got the free tote or special edition issue.,3
73590,If you love food networks you will love this magazine. Illustrated recipes and good articles. Very colorful.,5
8098,We bought this subscription as a gift for our 16 year old daughter without having seen an issue of it. There was way too much (sexual) info in it. Cancelled it.,2
8144,really could not give an accurate review becasue I have not received my first issue yet.,3
8146,I love this magazine and have just ordered a subscription for my daughter too.  Very good value for the money.,4
8157,Great articles but to many adds,3
8182,"It's ok! It first has too many ads. And you need to love fashion to read this magazine, otherwise you will be bored! That's all that is in this magazine.",3
8206,"This magazine is cool, but seems shallow. I wish they went more in depth. Still, an interesting read every once in a while.
I recommend still.",3
73779,"I have long coveted this magazine.  If you enjoy design and architecture, this is an excellent magazine.",5
73781,Enjoy Vogue very much,5
73786,Don't waste the money! All adds and not much in the way of fashion or style that relates to the everyday woman,1
8278,Thoroughly enjoy this magazine & love Bill Heavey's writing.,5
73833,Good use full ideas easy to understand,4
8334,"Love this magazine. No problems reading it on my ipad. Great price. Great offer. Would purchase this magazine again
Thanks",5
8384,Always liked to read F&S. The price is hard to turn down.,4
8411,"This Kindle version must be specifically for Kindle Fire because I could not load it up on my Android, Kindle, or Nexus 7, only my iPod. So beware.",1
8555,This magazine has a lot of interesting information.  I am a beginner so I don't understand everything just yet.  Hopefully I will catch on soon and be able to comprehend it all.,4
8678,My daughter has not started receiving the magazine. When will she start getting it. I ordered it in December.  ?????,2
8718,"Just read their latest issue, alot of bizzare recipes and things I'd probably never make.
Won't renew",3
8828,I have not received a single issue of this magazine. So my review would be that it's full of fail.,1
74459,90% ads . . . I wanted something that would help me in my career.  This ain't it,3
8952,Great magazine with wonderful tips and trends but never as good as the hard copy version. Great for travel though.,3
74490,love reading.,3
8965,I renewed 3 time in a year.  The auto-renewal kick in after 5 mos.  I cannot cancel the order.  Don't do auto renewal.,2
8967,"Got the magazine for a really great price, $5 for a years sub.  Husband loves the magazine, gotten it for years.",5
8995,I would recommend Wired to anyone. It has the best price-to-content ratio I have ever seen in a magazine.,5
9013,Did not enjoy not enough good article for a magazine of this type. tryed to cancel but no avail would not suguest even if you get it free.,1
9089,"I love this magazine. I have been receiving it regularly since I ordered it and it always arrives in good condition

GREAT VALUE",5
9094,I found this magazine to be very interesting. I had lots of information and audition information as well. Loved it.,4
9145,Subscribed once again to get the latest tech and science info. Always very well written and concise. Very little advertising and amazing articles. Recommended buy.,5
9161,Nephew loves it!,4
9163,My Dad loves this magazine.  It is full of helpful hints and tips.,5
74769,"I decided to get a subscription after not reading it for several years. Definitely not the Men's Health I remember, just page after page of advertising.",2
74787,son said it was ok.,3
74798,faux-woke neoliberal garbage,1
